"Player","Nation","Position","Club","Age","MatchesPlayed","Starts","TotalMinutes","Goals","Assists","xG","xAG","FPLPoints","FPLPrice","WeeklyWages","AnnualWages","Continent"
"Antonee Robinson","USA","DF","Fulham",25,11,11,928,0,0,0,0.2,24,4.4,27500,1430000,"Americas"
"Marc Roca","ESP","MF","Leeds United",25,12,12,900,1,0,0.8,0.3,27,4.9,NA,NA,"Europe"
"Marek Rodák","SVK","GK","Fulham",25,2,2,180,0,0,0,0,7,4.4,4423,230000,"Europe"
"Rodri","ESP","MF","Manchester City",26,11,11,942,0,3,1,0.8,36,5.7,220000,11440000,"Europe"
"Rodrigo","ESP","FW","Leeds United",31,11,10,718,6,1,4.2,1.2,64,6.3,57692,3e+06,"Europe"
"Mads Roerslev","DEN","DF","Brentford",23,5,3,253,0,0,0.1,0.5,15,4.3,5000,260000,"Europe"
"Cristian Romero","ARG","DF","Tottenham",24,8,7,658,0,0,0.6,0.3,21,4.9,165000,8580000,"Americas"
"Oriol Romeu","ESP","MF","Southampton",31,1,1,74,0,0,0,0,2,4.8,NA,NA,"Europe"
"Cristiano Ronaldo","POR","FW","Manchester Utd",37,9,3,435,1,0,1.6,0.4,20,10.2,515000,26780000,"Europe"
"Salomón Rondón","VEN","FW","Everton",33,7,1,109,0,0,0.8,0.2,7,5,80000,4160000,"Americas"
"Joe Rothwell","ENG","MF","Bournemouth",27,1,0,14,0,0,0,0,2,4.9,8000,416000,"Europe"
"José Sá","POR","GK","Wolves",29,13,13,1170,0,0,0,0,60,5.1,28654,1490000,"Europe"
"Allan Saint-Maximin","FRA","FW","Newcastle Utd",25,6,4,360,1,2,0.8,1.1,33,6.2,70000,3640000,"Europe"
"Bukayo Saka","ENG","MF","Arsenal",21,12,12,992,4,5,4.3,1.8,73,8,70000,3640000,"Europe"
"Mohamed Salah","EGY","FW","Liverpool",30,12,12,1057,4,3,5.6,2.2,80,12.7,350000,18200000,"Africa"
"William Saliba","FRA","DF","Arsenal",21,12,12,1065,2,1,0.3,0.9,68,5.3,40000,2080000,"Europe"
"Mohammed Salisu","GHA","DF","Southampton",23,12,12,1080,0,0,0.5,0.1,23,4.4,23077,1200000,"Africa"
"Albert Sambi Lokonga","BEL","MF","Arsenal",23,6,2,198,0,0,0,0,8,4.3,50000,2600000,"Europe"
"Davinson Sánchez","COL","DF","Tottenham",26,9,6,497,0,0,0.3,0.1,18,4.3,65000,3380000,"Americas"
"Robert Sánchez","ESP","GK","Brighton",24,12,12,1080,0,0,0,0,47,4.6,10000,520000,"Europe"
"Jadon Sancho","ENG","MF","Manchester Utd",22,10,10,714,2,1,1.6,0.8,40,7.2,350000,18200000,"Europe"
"Jeremy Sarmiento","ECU","MF","Brighton",20,2,0,8,0,0,0,0,2,4.5,NA,NA,"Americas"
"Gianluca Scamacca","ITA","FW","West Ham",23,11,7,620,2,0,1.8,0.6,29,6.7,90000,4680000,"Europe"
"Fabian Schär","SUI","DF","Newcastle Utd",30,12,12,1063,1,0,0.9,0.3,60,4.9,40000,2080000,"Europe"
"Jeffrey Schlupp","GHA","MF","Crystal Palace",29,12,10,914,0,0,0.7,0.3,26,4.8,55962,2910000,"Africa"
"Nélson Semedo","POR","DF","Wolves",28,11,6,564,0,1,0,0.2,11,5,76923,4e+06,"Europe"
"Marcos Senesi","ARG","DF","Bournemouth",25,10,9,762,0,0,0.1,0.1,17,4.5,50000,2600000,"Americas"
"Ryan Sessegnon","ENG","DF","Tottenham",22,11,7,595,2,0,1.3,0.6,NA,NA,55000,2860000,"Europe"
"Luke Shaw","ENG","DF","Manchester Utd",27,8,7,629,0,1,0.2,0.9,28,4.7,150000,7800000,"Europe"
"Jonjo Shelvey","ENG","MF","Newcastle Utd",30,2,0,10,0,0,0,0,3,4.8,70000,3640000,"Europe"
"Bernardo Silva","POR","MF","Manchester City",28,12,10,888,2,5,1.2,1.5,62,6.9,150000,7800000,"Europe"
"Thiago Silva","BRA","DF","Chelsea",38,10,10,900,0,2,0.3,0.4,36,5.4,110000,5720000,"Americas"
"Luis Sinisterra","COL","MF","Leeds United",23,9,6,453,2,0,1.5,0.2,22,6.5,NA,NA,"Americas"
"Oliver Skipp","ENG","MF","Tottenham",22,6,2,130,0,0,0.1,0.2,6,4.3,40000,2080000,"Europe"
"Adam Smith","ENG","DF","Bournemouth",31,13,13,1125,0,1,0.4,0.3,30,4.4,35000,1820000,"Europe"
"Emile Smith Rowe","ENG","MF","Arsenal",22,4,0,51,0,0,0.1,0.3,4,5.6,40000,2080000,"Europe"
"Emile Smith Rowe","ENG","MF","Arsenal",22,4,0,51,0,0,0.1,0.3,0,4.5,40000,2080000,"Europe"
"Cédric Soares","POR","DF","Arsenal",31,1,0,28,0,0,0,0,1,4.2,75000,3900000,"Europe"
"Dominic Solanke","ENG","FW","Bournemouth",25,11,10,891,2,3,1.7,1,52,5.7,50000,2600000,"Europe"
"Manor Solomon","ISR","MF","Fulham",23,1,0,25,0,0,0,0,1,4.9,NA,NA,"Asia"
"Tomáš Souček","CZE","MF","West Ham",27,13,13,1170,1,1,2.4,0.6,NA,NA,65000,3380000,"Europe"
"Boubakary Soumaré","FRA","MF","Leicester City",23,9,7,531,0,0,0,0.1,18,4.4,80000,4160000,"Europe"
"Çağlar Söyüncü","TUR","DF","Leicester City",26,1,1,71,0,0,0,0,2,4.2,45000,2340000,"Asia"
"Djed Spence","ENG","DF","Tottenham",22,3,0,4,0,0,0.1,0,3,4.1,25000,1300000,"Europe"
"Jack Stacey","ENG","DF","Bournemouth",26,5,1,116,0,0,0,0,4,4.3,30000,1560000,"Europe"
"Junior Stanislas","ENG","MF","Bournemouth",32,3,0,58,0,0,0,0.1,4,4.8,35000,1820000,"Europe"
"Jay Stansfield","ENG","MF","Fulham",19,3,1,87,0,0,0.3,0.1,7,4.5,NA,NA,"Europe"
"Jack Stephens","ENG","DF","Southampton",28,2,0,46,0,0,0,0,NA,NA,NA,NA,"Europe"
"Jack Stephens","ENG","DF","Bournemouth",28,2,0,3,0,0,0,0,3,4.3,45000,2340000,"Europe"
"Raheem Sterling","ENG","FW","Chelsea",27,11,10,860,3,1,3,2.1,45,9.7,325000,16900000,"Europe"
"John Stones","ENG","DF","Manchester City",28,7,6,551,0,2,0.2,1.1,31,5.4,250000,1.3e+07,"Europe"
"Pascal Struijk","NED","DF","Leeds United",23,11,11,984,1,1,0.8,2.1,40,4.5,7115,370000,"Europe"
"Crysencio Summerville","NED","MF","Leeds United",21,8,2,293,2,0,0.5,0,33,4.4,5769,3e+05,"Europe"
"Sam Surridge","ENG","FW","Nottingham Forest",24,6,1,125,0,0,0.2,0.1,7,4.7,12692,660000,"Europe"
"Matt Targett","ENG","DF","Newcastle Utd",27,9,4,422,0,0,0,0.3,22,4.8,1e+05,5200000,"Europe"
"James Tarkowski","ENG","DF","Everton",29,13,13,1170,0,0,0.7,0.7,40,4.4,1e+05,5200000,"Europe"
"Marcus Tavernier","ENG","MF","Bournemouth",23,13,13,1114,0,1,0.9,0.9,47,4.9,20000,1040000,"Europe"
"Kenny Tete","NED","DF","Fulham",27,8,7,618,0,3,0.1,0.3,20,4.4,50962,2650000,"Europe"
"Luke Thomas","ENG","DF","Leicester City",21,3,2,183,0,0,0,0,0,4.2,10000,520000,"Europe"
"Youri Tielemans","BEL","MF","Leicester City",25,13,12,1022,2,1,1.1,2,54,6.3,35000,1820000,"Europe"
"Kieran Tierney","SCO","DF","Arsenal",25,11,3,341,0,0,0.3,0.1,19,4.7,110000,5720000,"Europe"
"Harry Toffolo","ENG","DF","Nottingham Forest",27,8,6,577,0,0,0.2,0.4,17,4.3,NA,NA,"Europe"
"Takehiro Tomiyasu","JPN","DF","Arsenal",24,11,4,410,0,0,0.1,0.1,21,4.2,55000,2860000,"Asia"
"James Tomkins","ENG","DF","Crystal Palace",33,1,0,48,0,0,0,0,1,3.9,50000,2600000,"Europe"
"Ivan Toney","ENG","FW","Brentford",26,13,13,1170,8,2,7,2,70,7.4,21154,1100000,"Europe"
"Adama Traoré","ESP","MF","Wolves",26,10,5,509,1,0,0.5,0.8,25,5.5,43077,2240000,"Europe"
"Adama Traoré","ESP","MF","Wolves",26,10,5,509,1,0,0.5,0.8,11,4.5,43077,2240000,"Europe"
"Boubacar Traoré","MLI","MF","Wolves",21,6,2,205,0,0,0,0,11,4.5,NA,NA,"Africa"
"Mark Travers","IRL","GK","Bournemouth",23,6,5,495,0,0,0,0,11,4.3,20000,1040000,"Europe"
"Kieran Trippier","ENG","DF","Newcastle Utd",32,13,13,1155,1,2,0.4,3.4,89,5.9,1e+05,5200000,"Europe"
"Leandro Trossard","BEL","MF","Brighton",27,12,12,1003,7,1,4.2,1.5,78,7.1,42500,2210000,"Europe"
"Kostas Tsimikas","GRE","DF","Liverpool",26,9,4,362,0,3,0.2,0.6,21,4.5,50000,2600000,"Europe"
"Deniz Undav","GER","FW","Brighton",26,6,0,60,0,0,0.4,0.2,7,5.1,NA,NA,"Europe"
"Yan Valery","TUN","DF","Southampton",23,1,1,45,0,0,0,0,0,4,NA,NA,"Africa"
"Virgil Van Dijk","NED","DF","Liverpool",31,12,12,1080,1,0,0.8,0,45,6.5,NA,NA,"Europe"
"Raphaël Varane","FRA","DF","Manchester Utd",29,10,8,684,0,0,0,0.1,31,4.8,340000,17680000,"Europe"
"Jamie Vardy","ENG","FW","Leicester City",35,13,8,708,1,4,2,0.4,39,9.1,140000,7280000,"Europe"
"Joël Veltman","NED","DF","Brighton",30,11,11,914,0,0,0.5,0.2,38,4.6,38462,2e+06,"Europe"
"Fabio Vieira","POR","MF","Arsenal",22,7,1,172,1,0,0.3,0.2,NA,NA,45000,2340000,"Europe"
"Rúben Vinagre","POR","DF","Everton",23,2,0,26,0,0,0,0,2,4.3,25000,1300000,"Europe"
"Carlos Vinícius","BRA","FW","Fulham",27,7,1,162,0,0,0.1,0.3,9,5.5,NA,NA,"Americas"
"Theo Walcott","ENG","MF","Southampton",33,1,0,18,0,0,0,0,2,4.8,75000,3900000,"Europe"
